year,state,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_ngrams_freq,loser_ngrams_freq,winner_mention_share,attention_leader_won,status
1976,AZ,Dennis Deconcini,Sam Steiger,D,0.5401087411125052,0.4333940448725732,4.4296634416074454e-10,8.138426466075543e-08,0.005413434363117226,0.0,ok
1976,FL,Lawton Chiles,John Grady,D,0.6297450878974669,0.3702094183306305,2.3348724909055818e-07,1.8365412302046025e-08,0.927078744371826,1.0,ok
1976,HI,Spark M. Matsunaga,William Quinn,D,0.5372701031473855,0.4062471035313745,4.520258656270926e-08,1.652379300054463e-08,0.7323058128881197,1.0,ok
1976,IN,Richard G. Lugar,Vance Hartke,R,0.5903390127739987,0.4018726745996528,2.2053776582708906e-08,3.9396948636749585e-07,0.0530109216160554,0.0,ok
1976,ME,Edmund S. Muskie,Robert A. G. Monks,D,0.6020325261778758,0.3979674738221241,3.6517052137696737e-07,3.3961673473470455e-09,0.9907854739691699,1.0,ok
1976,MA,Edward M. Kennedy,Michael S. Robertson,D,0.6930872190923851,0.2900710685979557,7.465549458629539e-07,3.4976149754228913e-10,0.9995317187131163,1.0,ok
1976,MO,John C. Danforth,Warren E. Hearnes,R,0.5693861454404897,0.4249610856325021,8.04406852239481e-08,1.11942095593065e-08,0.8778390089737721,1.0,ok
1976,MT,John Melcher,Stanley C. Burger,D,0.6415778749086157,0.3584221250913842,1.6562841409495377e-07,1.3350884287000042e-09,0.9920037109396955,1.0,ok
1976,NV,Howard W. Cannon,David Towell,D,0.6300873208881669,0.3143700563152863,2.697612799806848e-07,6.735117352718589e-09,0.97564121117789,1.0,ok
1976,NY,Daniel Patrick Moynihan,James L. Buckley,D,0.4857614699540639,0.3787590137808193,1.8385993172387316e-07,2.384901733876177e-07,0.43532588129778804,0.0,ok
1976,ND,Quentin N. Burdick,Robert Stroup,D,0.6209664313825239,0.3655241607845631,1.3801114207012688e-07,2.957466382902396e-09,0.9790203903169845,1.0,ok
1976,RI,John H. Chafee,Richard P. Lorber,R,0.5774016936320837,0.4203120534662301,1.2688107453584507e-08,1.6178030026736678e-09,0.8869136635784021,1.0,ok
1976,TN,James R. Sasser,Bill Brock,D,0.5245501890302406,0.4701182783234617,1.0708185449459506e-08,1.9386321525871608e-07,0.05234448907516113,0.0,ok
1976,TX,Lloyd Bentsen,Alan Steelman,D,0.567843416627304,0.422372961853065,2.2937010868417929e-07,4.825723287638084e-08,0.826179825786884,1.0,ok
1976,UT,Orrin G. Hatch,Frank E. Moss,R,0.5558639208746083,0.4289304128647713,5.5992733782872506e-09,3.527590735075137e-07,0.015624788502754164,0.0,ok
1976,VT,Robert T. Stafford,Thomas P. Salmon,R,0.4997408230191473,0.4532000423146091,1.7262175333598861e-07,6.823052167703736e-08,0.7167121561407412,1.0,ok
1976,WA,Henry M. Jackson,George M. Brown,D,0.7184032577051608,0.2424675292449723,7.457710466951539e-07,4.51166748405285e-09,0.9939867100776958,1.0,ok
1976,WI,William Proxmire,Stanley York,D,0.7218800495870417,0.2696912901777248,6.366970524140925e-07,2.8061570844784e-09,0.9956119734149909,1.0,ok
1978,AK,Ted Stevens,Donald Hobbs,R,0.755925078009793,0.2409463830341939,2.210923568668477e-07,1.1887036077684598e-09,0.9946522497003104,1.0,ok
1978,AR,David Pryor,Tom Kelly,D,0.7647977909184782,0.1630280505397012,4.335241321484773e-08,2.8475897195789912e-08,0.6035560765247697,1.0,ok
1978,CO,William L. Armstrong,Floyd K. Haskell,R,0.5868751647836574,0.4029851474996826,2.2997777016087184e-08,1.3117080044366958e-07,0.14917292093513923,0.0,ok
1978,GA,Sam Nunn,John W. Stokes,D,0.8313388970870897,0.1686611029129103,2.5349147847464337e-07,1.9661588801511698e-08,0.9280198864410554,1.0,ok
1978,IA,Roger W. Jepsen,Dick Clark,R,0.5112906511952809,0.4791141144054641,1.2507251900828464e-09,3.839317486153959e-07,0.003247097869552798,0.0,ok
1978,KS,Nancy Landon Kassebaum,Bill Roy,R,0.5386391467324753,0.4241258801958765,8.120003502920525e-09,1.3883898697386599e-08,0.3690256132299656,0.0,ok
1978,ME,William S. Cohen,William D. Hathaway,R,0.5659452859663996,0.3394354782812692,6.239724470447072e-08,1.351715823716404e-07,0.31582535376612275,0.0,ok
1978,MA,Paul E. Tsongas,Edward W. Brooke,D,0.5505781336556378,0.4484987661781739,3.221310329593052e-08,1.520743353466969e-07,0.17479814974475058,0.0,ok
1978,MI,Carl Levin,Robert P. Griffin,D,0.5213859897492825,0.4785184586686714,3.213584687244975e-08,1.0398905914144052e-07,0.23607617307864723,0.0,ok
1978,MN,Rudolph E. Boschwitz,Wendell Anderson,R,0.56565832944246,0.4038758159762423,5.7032521066924247e-11,9.458560867869892e-08,0.0006026091447146274,0.0,ok
1978,MS,Thad Cochran,Maurice Dantin,R,0.4528730880529144,0.3177390060924782,3.6705687378457696e-08,7.940981316956197e-09,0.8221372042082079,1.0,ok
1978,MT,Max Baucus,Larry Williams,D,0.5568934021434873,0.4431065978565128,6.660902585053918e-08,4.4819712385901767e-08,0.5977724140535569,1.0,ok
1978,NJ,Bill Bradley,Jeffrey Bell,D,0.5532320314276008,0.4312610631336158,6.489298698397761e-08,1.4260238212493448e-08,0.8198400864008101,1.0,ok
1978,NM,Pete V. Domenici,Toney Anaya,R,0.5340580575101823,0.4659419424898177,1.452034581461703e-07,3.636290024644495e-08,0.7997266642986,1.0,ok
1978,NC,Jesse Helms,John Randolph Ingram,R,0.5451165419690196,0.4548834580309804,1.8083660791035072e-07,3.2412769135348185e-09,0.982391817916444,1.0,ok
1978,OK,David Lyle Boren,Robert B. Kamm,D,0.654880784446825,0.3286077553747759,9.68754798602589e-10,6.145679298796836e-09,0.13616751316267064,0.0,ok
1978,OR,Mark Hatfield,Vern Cook,R,0.6164189405703863,0.3827553057753457,1.1850938719248916e-07,2.8137314700416027e-09,0.9768079530013715,1.0,ok
1978,SC,Strom Thurmond,Charles D. Ravenel,R,0.5567751948777258,0.4432248051222742,3.8869086438353406e-07,8.541577445342341e-10,0.9978072939043913,1.0,ok
1978,SD,Larry Pressler,Don Barnett,R,0.6683594223764568,0.3316405776235431,5.8974487515683904e-08,7.902021703642959e-09,0.8818415943671993,1.0,ok
1978,TN,Howard H. Baker,Jane Eskind,R,0.5553948080276969,0.4029300990239341,1.4857113939115152e-07,6.1027469189234296e-09,0.9605444263119551,1.0,ok
1978,TX,John G. Tower,Robert Krueger,R,0.4978837122817335,0.4925964523856884,3.295532557956449e-08,2.4094719108802565e-08,0.5776564375993265,1.0,ok
1978,VA,John William Warner,Andrew P. Miller,R,0.5017214069720255,0.4978588773546622,6.822620940427626e-10,3.3132806720459484e-08,0.02017627400924174,0.0,ok
1978,WY,Raymond B. Whitaker,Alan Kooi Simpson,D,0.6216670165861852,0.3783329834138148,7.392946255180277e-10,2.2813008426769699e-10,0.7641882805347967,1.0,ok
1980,AL,Jeremiah Denton,Jim Folsom Jr.,R,0.5015295849569349,0.4705391989401252,2.3203297949692114e-08,1.5171318992757143e-09,0.9386284175257147,1.0,ok
1980,AK,Frank H. Murkowski,Clark S. Gruening,R,0.5368584223217361,0.4593396358811447,3.3155388989847268e-09,9.55142853698021e-10,0.7763488573930798,1.0,ok
1980,AZ,Barry Goldwater,Bill Schulz,R,0.4945689846472013,0.4838179077093423,5.459355350012629e-07,1.603974342234693e-09,0.9970705778946293,1.0,ok
1980,AR,Dale Bumpers,Bill Clark,D,0.5908727862593532,0.4087179715434489,1.5290234500753286e-07,3.765295453206363e-08,0.8024040547650079,1.0,ok
1980,CA,Alan Cranston,Paul Gann,D,0.5651238849727751,0.3714159710485761,4.664001096443826e-07,3.839647355619036e-08,0.9239367403940328,1.0,ok
1980,CO,Gary Hart,Mary Estill Buchanan,D,0.5033499780930186,0.4869785584353812,2.52215954787971e-07,7.193768358781938e-09,0.9722687019147995,1.0,ok
1980,CT,Christopher J. Dodd,James L. Buckley,D,0.5633678078277381,0.4290942610106373,2.6198775593400114e-08,2.2711315494916562e-08,0.5356517440561117,1.0,ok
1980,FL,Paula Hawkins,Bill Gunter,R,0.5165661950528737,0.4833887372775953,1.635955237944131e-08,2.1820218520929302e-08,0.42848744226703855,0.0,ok
1980,GA,Mack Mattingly,Herman E. Talmadge,R,0.5087170826716056,0.4912829173283944,7.591797634987074e-09,2.157978329364596e-07,0.033984557007264445,0.0,ok
1980,HI,Daniel K. Inouye,Cooper Brown,D,0.7794455671062408,0.1842600501378443,1.4949476678793872e-07,2.2461422721775648e-09,0.9851975167007356,1.0,ok
1980,ID,Steve Symms,Frank Church,R,0.4974468152858998,0.4877526743046125,3.122940395172691e-08,5.851360924680193e-07,0.05066702165051046,0.0,ok
1980,IL,Alan J. Dixon,David C. O'Neal,D,0.5601060604638093,0.4249527677663176,4.042315815411257e-08,4.328269631592718e-09,0.9032819767825313,1.0,ok
1980,IN,Dan Quayle,Birch Bayh,R,0.537857946047446,0.4621420539525541,4.010446019719893e-08,3.678384814520541e-07,0.09830899398592981,0.0,ok
1980,IA,Charles E. Grassley,John Culver,R,0.5348641253702077,0.4554043662185803,3.682304949848003e-08,1.1786380227363225e-07,0.23804899431742574,0.0,ok
1980,KS,Bob Dole,John Simpson,R,0.6376074729726707,0.3623925270273292,1.1788227993747569e-07,9.610208095978123e-08,0.5508920345542263,1.0,ok
1980,KY,Wendell H. Ford,Mary Louise Foust,D,0.6512584468615618,0.3487415531384382,1.0772043523843422e-07,1.4613679433228555e-09,0.9866152792797341,1.0,ok
1980,NV,Paul Laxalt,Mary Gojack,R,0.5928483637723874,0.3787062271604329,1.3903686735261545e-07,2.406216670358674e-09,0.9829880924402932,1.0,ok
1980,NH,Warren Rudman,John A. Durkin,R,0.5214072415080254,0.4784701114488348,8.87647355618526e-09,9.46840010840333e-08,0.08571294779232316,0.0,ok
1980,NC,John P. East,Robert Morgan,R,0.4995725009943454,0.4937810993705724,6.857220347100679e-09,1.799151121417708e-07,0.03671432623731491,0.0,ok
1980,OH,John Glenn,James E. Betts,D,0.6880003813966816,0.2824955062978872,3.2837782271144533e-07,7.307540961232206e-10,0.9977795957090766,1.0,ok
1980,OK,Don Nickles,Andy Coats,R,0.5346947174435989,0.4354781142389924,1.1761382645580909e-08,1.0158258817449806e-09,0.9204970413081628,1.0,ok
1980,OR,Bob Packwood,Ted Kulongoski,R,0.52108121568373,0.44012769904971,1.5766540428785447e-07,3.7433248722962276e-09,0.9768084112193085,1.0,ok
1980,PA,Arlen Specter,Pete Flaherty,R,0.504839926827314,0.480391766307337,2.6791592055985802e-08,5.883525666661171e-09,0.8199386543423736,1.0,ok
1980,SD,James Abdnor,George Mcgovern,R,0.5820055087670012,0.3939745570694825,4.7806336667122196e-08,1.6052781326436616e-10,0.9966533602935417,1.0,ok
1980,UT,Jake Garn,Dan Berman,R,0.7364571309343124,0.2548452123345527,1.4386602487093114e-07,5.66841151794506e-09,0.9620929355482779,1.0,ok
1980,VT,Patrick J. Leahy,Stewart M. Ledbetter,D,0.4981542051605745,0.4849802031330694,1.1469773752992296e-07,3.599900405548695e-09,0.9695691269210942,1.0,ok
1980,WA,Slade Gorton,Warren G. Magnuson,R,0.5417344328670556,0.4582655671329444,5.032342720312499e-08,1.818761248273404e-07,0.21672491080655654,0.0,ok
1980,WI,Robert W. Kasten Jr.,Gaylord A. Nelson,R,0.5019099882860101,0.4833889997377736,1.954584771812762e-09,3.5980064483354113e-09,0.3520130862002485,0.0,ok
1982,AZ,Dennis Deconcini,Pete Dunn,D,0.5691097342809976,0.4030322495976571,3.5780418627950894e-09,6.511771122319487e-09,0.35461924498241415,0.0,ok
1982,FL,Lawton Chiles,Van B. Poole,D,0.6171912540009701,0.3826497059077364,1.278572412388712e-07,1.4232500594735242e-09,0.988990991253359,1.0,ok
1982,HI,Spark Matsunaga,Clarence J. Brown,D,0.8008420090728109,0.1699389706602265,3.231520828705925e-08,9.470268480527011e-08,0.254414614353344,0.0,ok
1982,IN,Richard G. Lugar,Floyd J. Fithian,R,0.5383304893503338,0.4558443437937981,8.194468748001782e-08,1.4884276477999947e-08,0.8462828076477887,1.0,ok
1982,ME,George J. Mitchell,David F. Emery,D,0.6086792904299403,0.3912902559194283,5.1148434820902366e-08,1.7950456676629756e-08,0.7402207721773532,1.0,ok
1982,MD,Paul S. Sarbanes,Lawrence J. Hogan,D,0.6345764293211565,0.3654235706788434,4.7598001984283655e-08,6.046094291889403e-09,0.8872924569227038,1.0,ok
1982,MA,Edward M. Kennedy,Ray Shamie,D,0.6081055447980733,0.3825891653326143,2.995933101601622e-07,4.600707453894515e-09,0.9848757464397883,1.0,ok
1982,MN,Dave Durenberger,Mark Dayton,R,0.5259711582417886,0.4656799700777148,6.407481301096141e-08,9.094066333314998e-09,0.875711280331009,1.0,ok
1982,MS,John C. Stennis,Haley Barbour,D,0.6419880748993064,0.3580119251006936,6.319230294593581e-08,3.5182268348643575e-09,0.9472612967334442,1.0,ok
1982,MO,John C. Danforth,Harriett Woods,R,0.5084971309104314,0.491492503179419,1.1805806465758906e-07,6.876526903454305e-09,0.9449589835966733,1.0,ok
1982,MT,John Melcher,Larry Williams,D,0.5446331238203214,0.4167076763989509,1.1266917709917834e-07,7.583642869235518e-08,0.5976966924993099,1.0,ok
1982,NE,Edward Zorinsky,Jim Keck,D,0.6659067125815775,0.2854592804505477,6.053295464880648e-08,2.8679927321917376e-09,0.9547641975291477,1.0,ok
1982,NV,Chic Hecht,Howard Cannon,R,0.5120312041412693,0.4879687958587306,1.2880007366211643e-08,7.904444743189742e-08,0.14011513469946185,0.0,ok
1982,NJ,Frank R. Lautenberg,Millicent Fenwick,D,0.5093787674713814,0.4775078682464692,8.77294148438068e-09,8.356143865739796e-08,0.09501272950454538,0.0,ok
1982,NM,Jeff Bingaman,Harrison H. Schmitt,D,0.5377386922259826,0.4622613077740174,3.994624719894091e-08,4.9096419374450306e-08,0.4486191702942342,0.0,ok
1982,NY,Daniel P. Moynihan,Florence M. Sullivan,D,0.6219886390743135,0.2849891771471431,1.772896780494193e-07,1.140134042731944e-09,0.9936101819008636,1.0,ok
1982,ND,Quentin N. Burdick,Gene Knorr,D,0.6281713752309832,0.3402510810965271,3.798225556295165e-08,1.56949836807585e-09,0.9603178566793061,1.0,ok
1982,OH,Howard M. Metzenbaum,Paul E. Pfeifer,D,0.5665698610174813,0.4113695245685198,8.588864375269623e-08,3.589053609864834e-09,0.9598888469903054,1.0,ok
1982,PA,John Heinz,Cyril H. Wecht,R,0.5927730245597523,0.3920429132534319,2.568034176420042e-07,6.610972658194214e-09,0.974902765749965,1.0,ok
1982,RI,John H. Chafee,Julius C. Michaelson,R,0.5119785983931291,0.4880214016068709,1.2184712616658544e-07,1.595285348265918e-09,0.9870766835426413,1.0,ok
1982,TN,Jim Sasser,Robin Beard,D,0.6192429660616693,0.3807332203510916,7.998213646942531e-08,2.5154737848254172e-08,0.7607429552047827,1.0,ok
1982,TX,Lloyd Bentsen,Jim Collins,D,0.5859249598877534,0.4049923835874769,1.5095151439936672e-07,3.6581587536943516e-08,0.8049326377091159,1.0,ok
1982,UT,Orrin G. Hatch,Ted Wilson,R,0.5827634409817597,0.413491283001948,2.1763219137937995e-07,1.9786140725841506e-08,0.9166612765307757,1.0,ok
1982,VT,Robert T. Stafford,James A. Guest,R,0.5026666349210128,0.4722562826633016,1.531741418148158e-07,4.162955535846891e-09,0.9735411698452224,1.0,ok
1982,WA,Henry M. Jackson,Doug Jewett,D,0.689566349720419,0.2428051350553462,1.8489433273316536e-07,1.7879244196272737e-09,0.9904226333723621,1.0,ok
1982,WV,Robert C. Byrd,Cleve Benedict,D,0.6848760158071443,0.3076343412687462,3.0719073151885823e-07,2.1675492511974426e-08,0.9340902442144917,1.0,ok
1984,AL,Howell Heflin,Albert Lee Smith,D,0.6275624729258463,0.3635469948965676,5.463150110074366e-08,1.3305171187028009e-08,0.8041533278128654,1.0,ok
1984,AK,Ted Stevens,John E. Havelock,R,0.7116858330346157,0.2848506573402183,2.4080088678601896e-07,4.835757211330005e-10,0.997995827347902,1.0,ok
1984,AR,David Pryor,Ed Bethune,D,0.5734774349396545,0.4265225650603454,7.372303301167449e-08,5.263041025216353e-08,0.5834667509434925,1.0,ok
1984,DE,Joseph R. Biden Jr.,John M. Burris,D,0.6011051835466714,0.3988948164533286,1.49812340310973e-08,1.071070246383421e-09,0.9332762307598422,1.0,ok
1984,GA,Sam Nunn,Mike Hicks,D,0.7994223668684101,0.2005514635910319,1.9919997384931776e-07,5.4416553485481245e-09,0.973408854445316,1.0,ok
1984,IL,Paul Simon,Charles H. Percy,D,0.5007305734819059,0.4821135349834511,3.433971471622499e-07,2.042324211970481e-07,0.6270610043775944,1.0,ok
1984,IA,Tom Harkin,Roger W. Jepsen,D,0.5545625435135763,0.4365908563471803,8.094438008754423e-08,8.125422112925662e-08,0.49904487141261394,0.0,ok
1984,KS,Nancy Landon Kassebaum,James R. Maher,R,0.7598875923144606,0.2123586250625797,4.392985353263157e-08,1.7856707223984358e-09,0.9609395112164341,1.0,ok
1984,ME,William S. Cohen,Elizabeth H. Mitchell,R,0.7334232852018295,0.2586587741156244,1.2362409052002477e-07,2.263449649930749e-09,0.9820200661092038,1.0,ok
1984,MA,John F. Kerry,Raymond Shamie,D,0.5505496802769129,0.4492890849173928,9.991965699285288e-09,5.306944717009543e-09,0.6531161649683804,1.0,ok
1984,MI,Carl Levin,Jack Lousma,D,0.5176609281214655,0.471583690404973,1.1961644830194018e-07,2.5381665214041504e-08,0.8249517555878826,1.0,ok
1984,MN,Rudy Boschwitz,Joan Anderson Growe,R,0.580756511044976,0.4127710424689869,9.546162260676283e-08,1.0100655867262276e-08,0.9043156702064965,1.0,ok
1984,MS,Thad Cochran,William F. Winter,R,0.6094198941443334,0.3905801058556666,1.0209267031768832e-07,1.5619343152195597e-08,0.8673088439168383,1.0,ok
1984,MT,Max Baucus,Chuck Cozzens,D,0.5689071751658292,0.406978676266962,9.903323316962087e-08,1.0174361977921542e-09,0.9898307906961037,1.0,ok
1984,NE,J. J. Exon,Nancy Hoch,D,0.5193584797113503,0.4801662737545101,4.062163272422481e-09,4.652025320517339e-09,0.4661550790527554,0.0,ok
1984,NJ,Bill Bradley,Mary V. Mochary,D,0.6415863813340154,0.3488181327298046,1.7976130095576082e-07,5.903929151118703e-10,0.9967264354304619,1.0,ok
1984,NM,Pete V. Domenici,Judith A. Pratt,R,0.7189545474440646,0.2810255573638074,1.0344677647822209e-07,1.3439099277867683e-09,0.9871752922527883,1.0,ok
1984,OR,Mark O. Hatfield,Margie Hendriksen,R,0.6652907835865436,0.3343297097720902,1.1426365986721976e-07,6.641612149138609e-09,0.945067638173462,1.0,ok
1984,SC,Strom Thurmond,Melvin Purvis,R,0.6681120678043372,0.318073212935045,4.553244821181579e-07,1.8226062437065593e-08,0.9615118963611705,1.0,ok
1984,SD,Larry Pressler,George V. Cunningham,R,0.744904391013357,0.2550956089866429,1.0909013425930425e-07,5.932913049733202e-10,0.9945908754953533,1.0,ok
1984,TN,Albert Gore Jr.,Victor Ashe,D,0.6071511787363868,0.3379877624032484,2.655092501413492e-08,4.594325475615335e-09,0.8524871239315508,1.0,ok
1984,TX,Phil Gramm,Lloyd Doggett,R,0.5854805766762047,0.4144680513148035,8.623180391964524e-08,2.188407721703811e-08,0.7975868393527533,1.0,ok
1984,WV,Jay Rockefeller,John R. Raese,D,0.5181761034156176,0.4772559857770294,3.366898049250722e-08,1.6629122800981833e-09,0.9529345260158968,1.0,ok
1984,WY,Al Simpson,Victor A. Ryan,R,0.7831704994167942,0.2168295005832058,7.571470339584607e-09,4.806773312715507e-10,0.9403044565350797,1.0,ok
1986,AL,Richard Shelby,Jeremiah Denton,D,0.5028150082061429,0.497184991793857,2.6383713880306914e-08,1.3564442014057931e-07,0.16283415247444571,0.0,ok
1986,AK,Frank H. Murkowski,Glenn Olds,R,0.5402293128909685,0.4409654813856118,7.735260609820216e-08,2.0703456726778313e-09,0.9739326526335815,1.0,ok
1986,AR,Dale Bumpers,Asa Hutchinson,D,0.6227607417536202,0.3771644904937116,1.0680409445740224e-07,6.853488221381099e-09,0.9397005632193474,1.0,ok
1986,CA,Alan Cranston,Ed Zschau,D,0.4928959559432758,0.4787216586366193,3.19663001846493e-07,8.695719166951221e-08,0.7861464013442081,1.0,ok
1986,CO,Timothy E. Wirth,Ken Kramer,D,0.4991199747352147,0.4836075850918912,8.777372073609513e-08,5.3829751323064556e-08,0.6198557101723089,1.0,ok
1986,CT,Christopher J. Dodd,Roger W. Eddy,D,0.6476339728517718,0.3484763028784983,5.018624804620231e-08,5.181753914840215e-10,0.9897804697035785,1.0,ok
1986,FL,Bob Graham,Paula Hawkins,D,0.5473892680924409,0.4525882829017876,1.165189758012275e-07,1.963334455012955e-07,0.3724407032431295,0.0,ok
1986,GA,Wyche Fowler Jr.,Mack Mattingly,D,0.5091452463983909,0.490805774329637,1.1300628655064315e-08,1.0733639754789692e-07,0.09525380917532006,0.0,ok
1986,HI,Daniel K. Inouye,Frank Hutchinson,D,0.7356727707369592,0.2643272292630407,8.155234354489949e-08,4.585460233741401e-09,0.9467659955026804,1.0,ok
